v1	V(n002)	I(R1)
3.899999999999966e+000	3.900000e+000	3.911299e-012
3.999999999999966e+000	4.000000e+000	4.011300e-012
4.099999999999966e+000	4.100000e+000	4.111299e-012
4.199999999999966e+000	4.200000e+000	4.211300e-012
4.299999999999965e+000	4.300000e+000	4.311299e-012
4.399999999999965e+000	4.400000e+000	4.411299e-012
4.499999999999965e+000	4.500000e+000	4.511300e-012
4.599999999999964e+000	4.600000e+000	4.611300e-012
4.699999999999964e+000	4.700000e+000	4.711299e-012
4.799999999999963e+000	4.800000e+000	4.811298e-012
4.899999999999963e+000	4.900000e+000	4.911300e-012
5.000000000000000e+000	5.000000e+000	5.011301e-012
