X,CH1,CH2,
1014,3.437500e+00,1.625000e+00,
1015,3.250000e+00,2.062500e+00,
1016,3.500000e+00,1.625000e+00,
1017,3.250000e+00,2.062500e+00,
1018,3.500000e+00,1.562500e+00,
1019,3.250000e+00,2.125000e+00,
1020,3.312500e+00,1.625000e+00,
1021,3.500000e+00,1.937500e+00,
1022,3.375000e+00,1.937500e+00,
1023,3.500000e+00,1.687500e+00,
1024,3.562500e+00,1.625000e+00,
1025,3.312500e+00,2.125000e+00,
1026,3.562500e+00,1.937500e+00,
1027,3.375000e+00,1.687500e+00,
1028,3.625000e+00,1.625000e+00,
1029,3.375000e+00,2.062500e+00,
1030,3.625000e+00,1.625000e+00,
1031,3.375000e+00,2.062500e+00,
1032,3.625000e+00,1.687500e+00,
1033,3.437500e+00,2.062500e+00,
1034,3.687500e+00,1.625000e+00,
1035,3.437500e+00,2.062500e+00,
1036,3.500000e+00,1.625000e+00,
1037,3.687500e+00,2.062500e+00,
1038,3.687500e+00,1.937500e+00,
1039,3.500000e+00,1.687500e+00,
1040,3.500000e+00,1.625000e+00,
1041,3.750000e+00,2.125000e+00,
1042,3.562500e+00,1.937500e+00,
1043,3.750000e+00,1.687500e+00,
1044,3.562500e+00,1.625000e+00,
1045,3.812500e+00,2.125000e+00,
1046,3.562500e+00,1.625000e+00,
1047,3.812500e+00,2.125000e+00,
1048,3.625000e+00,1.687500e+00,
1049,3.812500e+00,2.062500e+00,
1050,3.625000e+00,1.687500e+00,
1051,3.875000e+00,2.062500e+00,
1052,3.687500e+00,1.687500e+00,
1053,3.875000e+00,2.062500e+00,
1054,3.687500e+00,1.937500e+00,
1055,3.875000e+00,1.687500e+00,
1056,3.687500e+00,1.687500e+00,
1057,3.937500e+00,2.062500e+00,
1058,3.750000e+00,2.000000e+00,
1059,3.937500e+00,1.625000e+00,
1060,3.937500e+00,1.625000e+00,
1061,3.687500e+00,2.125000e+00,
1062,3.812500e+00,1.937500e+00,
1063,4.000000e+00,1.687500e+00,
1064,4.000000e+00,1.625000e+00,
1065,3.750000e+00,2.125000e+00,
1066,3.812500e+00,1.687500e+00,
1067,4.000000e+00,2.062500e+00,
1068,4.000000e+00,1.625000e+00,
1069,3.812500e+00,2.000000e+00,
1070,3.875000e+00,1.687500e+00,
1071,4.062500e+00,2.062500e+00,
1072,4.062500e+00,1.937500e+00,
1073,3.875000e+00,1.687500e+00,
1074,4.062500e+00,1.687500e+00,
1075,3.875000e+00,2.000000e+00,
1076,3.937500e+00,1.625000e+00,
1077,4.125000e+00,2.000000e+00,
1078,3.937500e+00,1.937500e+00,
1079,4.125000e+00,1.687500e+00,
1080,3.937500e+00,1.625000e+00,
1081,4.187500e+00,2.125000e+00,
1082,4.000000e+00,1.937500e+00,
1083,4.187500e+00,1.687500e+00,
1084,4.000000e+00,1.625000e+00,
1085,4.187500e+00,2.125000e+00,
1086,4.187500e+00,1.687500e+00,
1087,4.000000e+00,2.000000e+00,
1088,4.187500e+00,1.937500e+00,
1089,4.062500e+00,1.687500e+00,
1090,4.062500e+00,1.750000e+00,
1091,4.250000e+00,1.937500e+00,
1092,4.125000e+00,1.687500e+00,
1093,4.250000e+00,2.000000e+00,
1094,4.250000e+00,1.750000e+00,
1095,4.125000e+00,2.000000e+00,
1096,4.125000e+00,1.687500e+00,
1097,4.312500e+00,2.000000e+00,
1098,4.187500e+00,1.937500e+00,
1099,4.312500e+00,1.750000e+00,
1100,4.187500e+00,1.625000e+00,
1101,4.375000e+00,2.062500e+00,
1102,4.187500e+00,1.937500e+00,
1103,4.375000e+00,1.687500e+00,
1104,4.375000e+00,1.687500e+00,
1105,4.187500e+00,2.062500e+00,
1106,4.250000e+00,1.937500e+00,
1107,4.375000e+00,1.750000e+00,
1108,4.250000e+00,1.937500e+00,
1109,4.437500e+00,1.750000e+00,
1110,4.437500e+00,1.750000e+00,
1111,4.250000e+00,1.937500e+00,
1112,4.312500e+00,1.687500e+00,
1113,4.500000e+00,2.000000e+00,
1114,4.312500e+00,2.000000e+00,
1115,4.500000e+00,1.687500e+00,
1116,4.500000e+00,1.687500e+00,
1117,4.312500e+00,2.125000e+00,
1118,4.375000e+00,1.687500e+00,
1119,4.562500e+00,2.000000e+00,
1120,4.375000e+00,1.687500e+00,
1121,4.562500e+00,2.125000e+00,
1122,4.625000e+00,2.000000e+00,
1123,4.375000e+00,1.687500e+00,
1124,4.437500e+00,2.000000e+00,
1125,4.625000e+00,1.687500e+00,
1126,4.625000e+00,2.000000e+00,
1127,4.437500e+00,1.687500e+00,
1128,4.437500e+00,1.687500e+00,
1129,4.687500e+00,2.000000e+00,
1130,4.500000e+00,1.750000e+00,
1131,4.687500e+00,2.000000e+00,
1132,4.500000e+00,2.000000e+00,
1133,4.687500e+00,1.687500e+00,
1134,4.687500e+00,2.062500e+00,
