Freq.	V(out)/V(in)
6.02559586074355e+001	(-3.83629261176049e+001dB,1.97393458288332e+001°)
6.16595001861479e+001	(-3.79163339709717e+001dB,2.00809602660803e+001°)
6.30957344480190e+001	(-3.74681454655146e+001dB,2.04238832089084e+001°)
6.45654229034652e+001	(-3.70183277931114e+001dB,2.07678384668681e+001°)
6.60693448007593e+001	(-3.65668490375776e+001dB,2.11125353617000e+001°)
6.76082975391978e+001	(-3.61136782971246e+001dB,2.14576687084581e+001°)
6.91830970918933e+001	(-3.56587858101791e+001dB,2.18029188484442e+001°)
7.07945784384134e+001	(-3.52021430824234e+001dB,2.21479517346475e+001°)
7.24435960074986e+001	(-3.47437230157281e+001dB,2.24924190729705e+001°)
7.41310241300914e+001	(-3.42835000371961e+001dB,2.28359585200804e+001°)
7.58577575029180e+001	(-3.38214502289422e+001dB,2.31781939399455e+001°)
7.76247116628688e+001	(-3.33575514563764e+001dB,2.35187357191768e+001°)
7.94328234724277e+001	(-3.28917834957142e+001dB,2.38571811424498e+001°)
8.12830516164095e+001	(-3.24241281590021e+001dB,2.41931148273489e+001°)
8.31763771102667e+001	(-3.19545694159033e+001dB,2.45261092182347e+001°)
8.51138038202372e+001	(-3.14830935125337e+001dB,2.48557251388532e+001°)
8.70963589956076e+001	(-3.10096890846069e+001dB,2.51815124003682e+001°)
8.91250938133741e+001	(-3.05343472667349e+001dB,2.55030104653806e+001°)
9.12010839355905e+001	(-3.00570617945863e+001dB,2.58197491625875e+001°)
9.33254300796986e+001	(-2.95778291011677e+001dB,2.61312494511844e+001°)
9.54992586021431e+001	(-2.90966484052976e+001dB,2.64370242300907e+001°)
9.77237220955805e+001	(-2.86135217926931e+001dB,2.67365791888656e+001°)
9.99999999999995e+001	(-2.81284542884826e+001dB,2.70294136956016e+001°)
1.02329299228075e+002	(-2.76414539207541e+001dB,2.73150217170046e+001°)
1.04712854805089e+002	(-2.71525317752247e+001dB,2.75928927659455e+001°)
1.07151930523760e+002	(-2.66617020401797e+001dB,2.78625128709796e+001°)
1.09647819614318e+002	(-2.61689820416816e+001dB,2.81233655626162e+001°)
1.12201845430196e+002	(-2.56743922695023e+001dB,2.83749328711242e+001°)
1.14815362149688e+002	(-2.51779563921084e+001dB,2.86166963290546e+001°)
1.17489755493952e+002	(-2.46797012632181e+001dB,2.88481379755591e+001°)
1.20226443461741e+002	(-2.41796569174692e+001dB,2.90687413538710e+001°)
1.23026877081237e+002	(-2.36778565575208e+001dB,2.92779924997407e+001°)
1.25892541179416e+002	(-2.31743365315805e+001dB,2.94753809142252e+001°)
1.28824955169313e+002	(-2.26691363022202e+001dB,2.96604005162417e+001°)
1.31825673855640e+002	(-2.21622984070935e+001dB,2.98325505715789e+001°)
1.34896288259165e+002	(-2.16538684116234e+001dB,2.99913365936063e+001°)
1.38038426460288e+002	(-2.11438948545396e+001dB,3.01362712127019e+001°)
1.41253754462275e+002	(-2.06324291865687e+001dB,3.02668750109573e+001°)
